metric,variant,mean_variant,mean_full,difference,ci_lower,ci_upper,p_wilcoxon,p_holm,cohens_d,significant,n
dice,gate_without_evidential_loss,0.77578,0.78636,-0.01058,-0.02117,-0.00056,0.05747348880112209,0.28736744400561043,-0.1688,False,150
dice,no_axial,0.7748,0.78636,-0.01156,-0.02154,-0.00219,0.09439277156313693,0.28736744400561043,-0.1914,False,150
dice,no_dissonance_temper,0.77993,0.78636,-0.00643,-0.01213,-0.00141,0.08688404109199734,0.28736744400561043,-0.1925,False,150
dice,no_kl,0.78133,0.78636,-0.00503,-0.00995,-0.00032,0.0656089617009747,0.28736744400561043,-0.1639,False,150
dice,no_vacuity_gate,0.78528,0.78636,-0.00108,-0.00371,0.00159,0.0734791028662904,0.28736744400561043,-0.0627,False,150
boundary_f1,gate_without_evidential_loss,0.56604,0.59536,-0.02932,-0.0541,-0.00649,0.027303275509553318,0.13651637754776658,-0.1982,False,150
boundary_f1,no_axial,0.5732,0.59536,-0.02215,-0.04366,-0.00217,0.12683098383112196,0.38049295149336587,-0.1704,False,150
boundary_f1,no_dissonance_temper,0.5889,0.59536,-0.00645,-0.01931,0.00597,0.3955621480255931,0.7911242960511862,-0.0821,False,150
boundary_f1,no_kl,0.58268,0.59536,-0.01267,-0.02852,0.00245,0.04534196542165576,0.18136786168662303,-0.1303,False,150
boundary_f1,no_vacuity_gate,0.5971,0.59536,0.00174,-0.00469,0.00866,0.9731644660132489,0.9731644660132489,0.0406,False,150
